"filename", "language", "Groovy", "Batch", "JavaScript", "Java Properties", "Java", "XML", "JSON", "Objective-C", "Markdown", "C++", "comment", "blank", "total"
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/Button.js", "JavaScript", 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 12, 39, 404
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/Card.js", "JavaScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 1, 18, 131
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/Cards.js", "JavaScript", 0, 0, 379, 0, 0, 0, 0, 0, 0, 0, 7, 36, 422
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/ImgCarousel.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 8, 48
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/ImgSlider.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 11, 8, 66
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/ImgSliderItem.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 7, 29
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/List.js", "JavaScript", 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 3, 22, 289
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/Modals.js", "JavaScript", 0, 0, 483, 0, 0, 0, 0, 0, 0, 0, 24, 60, 567
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/RNUrlPreview.js", "JavaScript", 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 4, 12, 277
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Blocks/RNUrlPreviewView.js", "JavaScript", 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 2, 11, 264
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/DeleteItem.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Highlights.js", "JavaScript", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 1, 10, 118
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Img&VideoInput/ImageInput.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 40, 10, 69
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Img&VideoInput/ImageInputList.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 7, 36
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Img&VideoInput/ImgInput.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 39, 11, 69
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Img&VideoInput/ImgInputList.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 6, 36
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Img&VideoInput/VideoInput.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 40, 12, 72
"/Users/choujordan/Desktop/myCode/fullStack/linking-book/app/components/Img&VideoInput/VideoInputList.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 6, 35
